"fin.ESV.names" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"1" "ESV1" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"2" "ESV2" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"3" "ESV3" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"4" "ESV4" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"5" "ESV5" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"6" "ESV6" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Piscinibacter"
"7" "ESV7" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium"
"8" "ESV8" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" NA
"9" "ESV9" "Bacteria" "Proteobacteria" "Betaproteobacteria" "SC-I-84" NA NA
"10" "ESV10" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhodobiaceae" NA
"11" "ESV11" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"12" "ESV12" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"13" "ESV13" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"14" "ESV14" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" NA
"15" "ESV15" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"16" "ESV16" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" NA
"17" "ESV17" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" NA
"18" "ESV18" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"19" "ESV19" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"20" "ESV20" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae_(Subgroup_4)" "RB41"
"21" "ESV21" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"22" "ESV22" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"23" "ESV23" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Pseudolabrys"
"24" "ESV24" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"25" "ESV25" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"26" "ESV26" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"27" "ESV27" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus"
"28" "ESV28" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"29" "ESV29" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Bradyrhizobium"
"30" "ESV30" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA
"31" "ESV31" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"32" "ESV32" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"33" "ESV33" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Polyangiaceae" "Aetherobacter"
"34" "ESV34" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"35" "ESV35" "Bacteria" "Nitrospirae" "Nitrospira" "Nitrospirales" "Nitrospiraceae" "Nitrospira"
"36" "ESV36" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"37" "ESV37" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"38" "ESV38" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" NA
"39" "ESV39" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"40" "ESV40" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"41" "ESV41" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"42" "ESV42" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Planococcaceae" NA
"43" "ESV43" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Bradyrhizobium"
"44" "ESV44" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"45" "ESV45" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"46" "ESV46" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"47" "ESV47" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae_(Subgroup_4)" "RB41"
"48" "ESV48" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"49" "ESV49" "Bacteria" "Proteobacteria" "Betaproteobacteria" "SC-I-84" NA NA
"50" "ESV50" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"51" "ESV51" "Bacteria" "Proteobacteria" "Betaproteobacteria" "SC-I-84" NA NA
"52" "ESV52" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
